,mes,mm,instalacao,medidor
2,8,296,0000436418,13240955
0,5,59,0000508950,00026463
0,5,327,0160280065,00092762
1,6,379,0160280065,00092762
2,7,127,0160280065,00092762
3,8,260,0160280065,00092762
0,5,193,0160313208,13337062
1,6,50,0160313208,13337062
2,8,82,0160313208,13337062
0,5,269,0160429028,14522721
1,6,155,0160429028,14522721
2,7,182,0160429028,14522721
3,8,292,0160429028,14522721
0,6,55,0001489690,13940037
0,5,319,0001000012,14631524
1,6,307,0001000012,14631524
2,7,256,0001000012,14631524
0,5,59,0160557791,14130419
1,7,59,0160557791,14130419
0,8,236,0160557791,14472083
0,6,75,0001001117,00045931
1,7,95,0001001117,00045931
2,8,53,0001001117,00045931
0,5,74,0160274030,12920389
1,7,244,0160274030,12920389
0,7,51,0160032028,12697353
1,8,51,0160032028,12697353
0,5,168,0001660025,12680609
1,6,231,0001660025,12680609
2,7,219,0001660025,12680609
3,8,156,0001660025,12680609
0,5,78,0000053230,12680677
1,6,69,0000053230,12680677
2,7,106,0000053230,12680677
3,8,64,0000053230,12680677
0,8,316,0009502327,14009785
0,5,174,0160089900,12697381
1,6,153,0160089900,12697381
2,7,161,0160089900,12697381
3,8,134,0160089900,12697381
0,5,135,0160279237,00047219
1,6,98,0160279237,00047219
2,8,60,0160279237,00047219
0,5,135,0160279238,00047848
1,6,101,0160279238,00047848
2,8,58,0160279238,00047848
0,5,88,0160326652,13337070
1,6,100,0160326652,13337070
2,7,79,0160326652,13337070
3,8,85,0160326652,13337070
0,5,54,0160325952,13337079
1,6,64,0160325952,13337079
2,7,108,0160325952,13337079
3,8,65,0160325952,13337079
0,7,49,0160325826,15347805
1,8,48,0160325826,15347805
0,5,80,0160325938,14884400
1,6,68,0160325938,14884400
0,5,207,0160325935,15137238
1,6,57,0160325935,15137238
2,8,169,0160325935,15137238
0,5,184,0160326653,13017123
1,6,154,0160326653,13017123
0,5,75,0160326658,13831618
0,5,69,0160325776,14275206
0,5,243,0160326327,14132048
1,6,161,0160326327,14132048
2,7,258,0160326327,14132048
3,8,276,0160326327,14132048
0,5,243,0160326327,14132048
1,6,161,0160326327,14132048
2,7,258,0160326327,14132048
3,8,276,0160326327,14132048
0,5,64,0160326401,12827984
1,7,50,0160326401,12827984
0,5,290,0160326332,00046765
1,6,361,0160326332,00046765
2,7,69,0160326332,00046765
0,6,75,0160326552,14884359
1,7,74,0160326552,14884359
