,mes,mm,instalacao,medidor
1,6,189,0000586609,15368409
2,7,253,0000586609,15368409
0,5,143,0160282570,14472047
1,6,74,0160282570,14472047
2,7,109,0160282570,14472047
3,8,52,0160282570,14472047
0,5,330,0000251990,12828041
1,6,83,0000251990,12828041
2,7,270,0000251990,12828041
0,5,123,0160249663,13240861
1,7,70,0160249663,13240861
0,5,132,0160065379,12680691
1,6,149,0160065379,12680691
2,7,54,0160065379,12680691
3,8,128,0160065379,12680691
0,5,108,0000508965,12794384
1,6,73,0000508965,12794384
0,5,420,0000272192,12919980
1,6,361,0000272192,12919980
2,7,220,0000272192,12919980
0,5,54,0001055888,12680657
1,6,48,0001055888,12680657
0,5,128,0000047412,00026470
1,6,91,0000047412,00026470
2,7,82,0000047412,00026470
3,8,89,0000047412,00026470
0,8,52,0160104105,12697493
0,5,88,0000181938,12680608
1,6,67,0000181938,12680608
2,7,94,0000181938,12680608
3,8,114,0000181938,12680608
0,5,290,0001411820,00056514
1,6,282,0001411820,00056514
2,7,73,0001411820,00056514
0,5,102,0160278777,00047595
1,6,79,0160278777,00047595
2,7,65,0160278777,00047595
0,5,49,0160278200,00008899
0,5,276,0000253729,13240909
1,6,63,0000253729,13240909
2,7,132,0000253729,13240909
3,8,101,0000253729,13240909
0,5,78,0009500109,12827871
1,6,96,0009500109,12827871
2,7,125,0009500109,12827871
0,8,237,0009500109,15536951
0,5,218,0001612683,15287943
1,6,70,0001612683,15287943
2,8,53,0001612683,15287943
0,5,110,0000843684,15023311
0,5,396,0000714339,13240715
1,6,49,0000714339,13240715
2,7,83,0000714339,13240715
3,8,48,0000714339,13240715
0,5,344,0001308055,13523812
0,6,70,0001308055,15473364
1,7,118,0001308055,15473364
2,8,139,0001308055,15473364
0,5,96,0001470814,00037311
0,5,483,0160392374,13059246
0,5,483,0160392374,13059246
0,5,723,0160465411,13831339
1,6,76,0160465411,13831339
0,8,145,0160465411,15496800
0,5,53,0160031690,12680687
0,5,173,0001724984,12828046
1,6,111,0001724984,12828046
0,8,539,0009501891,14630883
0,5,58,0000001217,00037355
1,6,62,0000001217,00037355
2,7,53,0000001217,00037355
3,8,65,0000001217,00037355
0,7,369,0160411333,15537038
1,8,446,0160411333,15537038
0,5,51,0001322084,13058138
0,7,145,0001322084,15347789
1,8,410,0001322084,15347789
0,5,149,0001468615,00026700
1,6,75,0001468615,00026700
0,5,64,0160130360,13058206
0,5,75,0000147861,12680495
1,6,70,0000147861,12680495
2,7,65,0000147861,12680495
3,8,49,0000147861,12680495
0,5,70,0009500086,12919397
1,7,50,0009500086,12919397
0,5,60,0160180311,13058191
0,5,134,0160470567,13017307
1,6,203,0160470567,13017307
0,5,63,0160278419,14630794
1,7,58,0160278419,14630794
2,8,113,0160278419,14630794
0,5,53,0160809881,15289106
0,7,73,0160470567,15476012
0,8,67,0160276771,14522758
0,6,131,0160380914,12794277
1,7,133,0160380914,12794277
2,8,127,0160380914,12794277
0,5,54,0001811813,12874969
1,6,56,0001811813,12874969
0,5,184,0160349962,13406427
1,6,86,0160349962,13406427
2,8,59,0160349962,13406427
0,5,219,0009502437,13059261
0,7,74,0009502437,15409560
1,8,55,0009502437,15409560
0,5,76,0000003374,00048863
1,6,88,0000003374,00048863
2,7,48,0000003374,00048863
0,6,52,0000959055,00046509
1,7,66,0000959055,00046509
2,8,73,0000959055,00046509
0,7,92,0000003828,14566578
1,8,711,0000003828,14566578
0,5,76,0001445366,00037318
1,6,54,0001445366,00037318
2,7,54,0001445366,00037318
0,6,52,0001418192,00026759
1,7,63,0001418192,00026759
0,5,61,0160324641,00066292
1,6,65,0160324641,00066292
2,8,58,0160324641,00066292
0,5,142,0160343054,13406576
1,7,77,0160343054,13406576
2,8,79,0160343054,13406576
0,8,557,0160516222,15347693
0,5,111,0000150442,00045535
1,6,97,0000150442,00045535
2,7,87,0000150442,00045535
0,5,604,0000157658,12919929
0,5,79,0160033471,12680626
1,6,64,0160033471,12680626
0,5,60,0160086067,12697332
0,5,90,0000003262,15269092
1,6,86,0000003262,15269092
2,7,87,0000003262,15269092
0,5,90,0000003262,15269092
1,6,86,0000003262,15269092
2,7,87,0000003262,15269092
0,5,410,0160097365,12874958
0,7,96,0160097365,15432059
1,8,459,0160097365,15432059
0,5,50,0000150323,12680561
0,5,210,0000909823,00009059
1,6,153,0000909823,00009059
0,5,72,0160036478,12680613
1,6,75,0160036478,12680613
2,7,71,0160036478,12680613
3,8,74,0160036478,12680613
0,6,69,0001594157,00026764
1,7,96,0001594157,00026764
2,8,49,0001594157,00026764
0,5,85,0000583096,00009554
1,6,90,0000583096,00009554
0,5,69,0160276776,13058829
1,6,61,0160276776,13058829
2,7,72,0160276776,13058829
3,8,80,0160276776,13058829
0,5,57,0000003911,00065600
1,6,67,0000003911,00065600
0,5,136,0001490375,14283235
1,6,141,0001490375,14283235
2,7,101,0001490375,14283235
3,8,100,0001490375,14283235
0,8,479,0160221353,15431987
0,5,91,0160079928,12874963
1,7,97,0160079928,12874963
2,8,63,0160079928,12874963
0,5,75,0000508232,12680623
1,6,64,0000508232,12680623
2,7,67,0000508232,12680623
3,8,74,0000508232,12680623
0,5,81,0160156424,12920075
0,7,156,0001500102,15347653
1,8,235,0001500102,15347653
0,5,75,0009500006,12697370
0,5,75,0009500006,12697370
0,5,63,0160050162,12680659
1,6,62,0160050162,12680659
2,7,57,0160050162,12680659
3,8,67,0160050162,12680659
0,5,48,0160041160,12680470
0,5,58,0160331998,13337119
0,5,54,0160213214,13057987
1,7,106,0160213214,13057987
2,8,79,0160213214,13057987
0,5,412,0160341543,12919176
1,8,202,0160341543,12919176
0,5,742,0160339662,13406515
1,6,100,0160339662,13406515
0,6,49,0160339662,15313916
1,8,49,0160339662,15313916
0,5,351,0000811282,12919926
0,6,332,0000811282,15496701
0,5,158,0160119823,13058352
1,8,66,0160119823,13058352
0,8,281,0160185046,15347753
0,5,48,0160033315,12680476
0,5,106,0160445033,13406560
1,6,122,0160445033,13406560
2,7,50,0160445033,13406560
0,5,224,0160489528,13240848
1,6,242,0160489528,13240848
0,8,376,0160489528,15496749
0,5,113,0001426334,00026454
1,6,71,0001426334,00026454
2,7,50,0001426334,00026454
0,5,632,0001420297,12920022
1,6,74,0001420297,12920022
2,7,234,0001420297,12920022
