;instalacao;data
81;1516165;2019-05-27
81;1516165;2019-06-25
611;1527483;2019-05-20
611;1527483;2019-06-17
486;1530779;2019-05-16
1231;1570978;2019-05-27
1231;1570978;2019-06-25
1231;1570978;2019-07-24
1231;1570978;2019-08-26
732;1584783;2019-08-19
335;1594157;2019-06-26
335;1594157;2019-07-25
335;1594157;2019-08-27
950;1598683;2019-05-22
950;1598683;2019-06-18
255;1612683;2019-05-22
255;1612683;2019-06-18
255;1612683;2019-08-19
761;1620528;2019-05-22
761;1620528;2019-06-18
761;1620528;2019-07-20
856;1627784;2019-06-18
856;1627784;2019-07-20
783;1628166;2019-03-06
783;1628166;2019-03-07
783;1628166;2019-03-08
783;1628166;2019-06-05
1087;1635576;2019-08-14
700;1640178;2019-05-22
700;1640178;2019-07-20
700;1640178;2019-08-19
1172;1642774;2019-07-19
1172;1642774;2019-08-21
1308;1643367;2019-03-07
1308;1643367;2019-03-08
1308;1643367;2019-06-05
131;1652356;2019-05-28
131;1652356;2019-06-26
1215;1654551;2019-05-15
1215;1654551;2019-12-06
647;1654734;2019-05-16
647;1654734;2019-06-13
647;1654734;2019-07-15
647;1654734;2019-08-15
1355;1660025;2019-07-06
1355;1660025;2019-09-07
1355;1660025;2019-09-08
1355;1660025;2019-10-05
1150;1687759;2019-05-15
759;1696279;2019-05-22
759;1696279;2019-06-18
759;1696279;2019-07-20
1174;1706131;2019-05-23
1174;1706131;2019-06-24
1174;1706131;2019-07-26
1030;1706564;2019-05-23
830;1714693;2019-07-20
830;1714693;2019-08-19
270;1724984;2019-05-20
270;1724984;2019-06-17
810;1729094;2019-05-17
810;1729094;2019-06-14
810;1729094;2019-08-16
1237;1753845;2019-06-05
418;1770062;2019-08-28
381;1770520;2019-05-24
381;1770520;2019-06-25
381;1770520;2019-07-26
1154;1782155;2019-04-06
1132;1792609;2019-05-17
1132;1792609;2019-06-14
1132;1792609;2019-07-16
1132;1792609;2019-08-16
509;1798069;2019-05-22
441;1807153;2019-03-06
441;1807153;2019-03-07
441;1807153;2019-03-08
15;1809203;2019-05-22
15;1809203;2019-06-18
15;1809203;2019-07-20
15;1809203;2019-08-19
300;1811813;2019-05-29
300;1811813;2019-06-27
621;1817718;2019-05-06
621;1817718;2019-05-07
621;1817718;2019-06-08
620;1817718;2019-08-05
225;1821775;2019-07-26
225;1821775;2019-08-22
849;1822100;2019-05-22
570;1828345;2019-05-22
570;1828345;2019-06-18
570;1828345;2019-07-20
56;1839811;2019-05-27
56;1839811;2019-06-25
56;1839811;2019-07-24
56;1839811;2019-08-26
17;1849522;2019-05-22
18;1849522;2019-06-19
18;1849522;2019-07-19
18;1849522;2019-08-21
1010;1908734;2019-06-06
1010;1908734;2019-09-05
1018;1921794;2019-03-06
1018;1921794;2019-03-07
1018;1921794;2019-03-08
1077;1937798;2019-05-16
1077;1937798;2019-06-13
1077;1937798;2019-07-15
1077;1937798;2019-08-15
1244;1956302;2019-05-22
1244;1956302;2019-06-18
1245;1956302;2019-08-19
